board_rank,owner,name,team,own,slots,per_game,rank,signal,etfr,src,vol,inj,ret,xfp_ros,xfp_po,buckets,k,xwoba_window,rank_full_window,window_full,season_fp_g,n_g
1,FA,Jeremy Pena,Hou,63.4,"['SS', '2B/SS', 'IF', 'UTIL', 'BE', 'IL']",1.81,114.0,hold,13.0,id·vol,3.69,,,46.0,27.0,"{'2B/SS', 'UTIL'}",jeremy pena,0.30654644,204.0,True,2.6625,80.0
2,FA,Chandler Simpson,TB,47.8,"['LF', 'CF', 'OF', 'UTIL', 'BE', 'IL']",1.83,108.0,hold,19.0,id·vol,3.59,,,46.0,27.0,"{'UTIL', 'OF'}",chandler simpson,0.2667226844444444,372.0,True,2.168067226890756,119.0
3,FA,Jonathan Aranda,TB,38.1,"['1B', '1B/3B', 'IF', 'UTIL', 'BE', 'IL']",1.73,147.0,hold,20.0,id·vol,3.79,,,46.0,27.0,"{'UTIL', '1B/3B'}",jonathan aranda,0.315981151111111,156.0,True,2.141732283464567,127.0
4,FA,Caleb Durbin,Bos,50.0,"['3B', '1B/3B', 'IF', 'UTIL', 'BE', 'IL']",1.94,73.0,hold,19.0,id·vol,3.43,,,46.0,27.0,"{'UTIL', '1B/3B'}",caleb durbin,0.2970362311111111,252.0,True,2.396694214876033,121.0
5,FA,Vinnie Pasquantino,KC,45.2,"['1B', '1B/3B', 'IF', 'DH', 'UTIL', 'BE', 'IL']",2.08,39.0,hold,16.0,id·vol,3.01,,,44.0,26.0,"{'UTIL', '1B/3B'}",vinnie pasquantino,0.3405506533333333,69.0,True,2.1511627906976742,86.0
6,FA,Alec Bohm,Phi,30.3,"['3B', '1B/3B', 'IF', 'UTIL', 'BE', 'IL', '1B']",1.93,75.0,hold,20.0,id·vol,3.3,,,44.0,26.0,"{'UTIL', '1B/3B'}",alec bohm,0.3534987644444444,39.0,True,2.2419354838709675,124.0
7,FA,Spencer Horwitz,Pit,4.5,"['1B', '1B/3B', 'IF', 'UTIL', 'BE', 'IL']",2.03,53.0,hold,15.0,id·vol,3.09,,,43.0,26.0,"{'UTIL', '1B/3B'}",spencer horwitz,0.3111363111111112,175.0,True,2.202247191011236,89.0
8,FA,Jakob Marsee,Mia,26.2,"['CF', 'OF', 'UTIL', 'BE', 'IL']",1.89,87.0,hold,19.0,id·vol,3.22,,,42.0,25.0,"{'UTIL', 'OF'}",jakob marsee,0.2975690177777778,247.0,True,1.7804878048780488,123.0
9,FA,Colson Montgomery,ChW,33.1,"['SS', '2B/SS', 'IF', 'UTIL', 'BE', 'IL', '3B', '1B/3B']",1.73,152.0,hold,19.0,id·vol,3.49,,,42.0,25.0,"{'2B/SS', 'UTIL', '1B/3B'}",colson montgomery,0.2753634888888889,343.0,True,1.6910569105691058,123.0
10,FA,Jarren Duran,Bos,68.3,"['LF', 'CF', 'OF', 'UTIL', 'BE', 'IL']",1.71,164.0,hold,19.0,id·vol,3.55,,,42.0,25.0,"{'UTIL', 'OF'}",jarren duran,0.2988562222222222,242.0,True,1.647540983606557,122.0
